Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,1278.5,1280.0,1211.5,1230.75,1230.75,57090
2022-05-19,1222.0,1247.75,1193.5,1200.5,1200.5,54778
2022-05-20,1208.0,1208.0,1168.0,1168.75,1168.75,40065
2022-05-23,1181.75,1196.75,1174.75,1190.0,1190.0,38143
2022-05-24,1196.0,1208.75,1138.0,1154.75,1154.75,52749
2022-05-25,1154.5,1158.5,1114.5,1148.25,1148.25,51657
2022-05-26,1133.0,1160.25,1115.0,1143.25,1143.25,38507
2022-05-27,1143.25,1170.25,1133.5,1157.5,1157.5,25544
2022-05-31,1157.0,1157.25,1087.5,1087.5,1087.5,68159
2022-06-01,1091.0,1098.0,1027.25,1041.25,1041.25,81448
2022-06-02,1043.25,1075.0,1037.25,1058.25,1058.25,58137
2022-06-03,1061.5,1069.25,1036.25,1040.0,1040.0,40835
2022-06-06,1060.0,1108.75,1060.0,1093.0,1093.0,60711
2022-06-07,1093.0,1101.0,1058.5,1071.75,1071.75,84918
2022-06-08,1073.0,1089.0,1061.75,1074.75,1074.75,68009
2022-06-09,1076.25,1082.0,1044.25,1071.25,1071.25,70950
2022-06-10,1074.5,1081.25,1053.0,1070.75,1070.75,62709
2022-06-13,1073.0,1093.5,1053.5,1071.0,1071.0,62605
2022-06-14,1071.0,1072.75,1046.5,1050.25,1050.25,34011
2022-06-15,1055.0,1058.75,1036.5,1050.0,1050.0,32823
2022-06-16,1050.25,1084.75,1047.0,1078.25,1078.25,38169
2022-06-17,1078.25,1083.75,1030.25,1034.25,1034.25,42369
2022-06-21,1032.0,1033.25,973.5,975.25,975.25,54693
2022-06-22,977.25,1007.25,960.0,976.5,976.5,35050
2022-06-23,973.25,974.5,934.5,937.25,937.25,32876
2022-06-24,936.25,962.5,921.75,923.75,923.75,28752
2022-06-27,922.0,940.0,900.5,904.0,904.0,26815
2022-06-28,908.0,935.0,907.25,921.25,921.25,23635
2022-06-29,922.0,940.0,913.75,915.5,915.5,12305
2022-06-30,914.25,917.75,868.75,868.75,868.75,2286
2022-07-01,876.0,878.0,831.25,831.25,831.25,419
2022-07-05,829.0,829.0,793.75,793.75,793.75,76
2022-07-06,791.0,813.0,779.0,792.25,792.25,384
2022-07-07,816.0,825.25,816.0,824.5,824.5,187
2022-07-08,843.5,879.25,841.75,879.25,879.25,110
2022-07-11,888.0,888.0,843.75,843.75,843.75,102
2022-07-12,835.0,839.25,801.5,801.5,801.5,70
2022-07-13,810.0,819.25,798.25,798.25,798.25,30
2022-07-14,794.25,794.25,794.25,794.25,794.25,53660
2022-07-15,798.0,804.75,765.75,776.75,776.75,44621
2022-07-18,787.25,825.0,778.5,812.75,812.75,42326
2022-07-19,808.5,822.25,792.5,812.25,812.25,45981
2022-07-20,810.25,843.5,801.0,819.5,819.5,38891
2022-07-21,819.5,834.0,795.5,806.25,806.25,43046
2022-07-22,803.25,807.25,754.0,759.0,759.0,66188
2022-07-25,787.0,793.5,760.5,770.0,770.0,47491
2022-07-26,773.0,806.0,772.25,803.75,803.75,43798
2022-07-27,802.5,818.75,782.0,790.25,790.25,41494
2022-07-28,786.25,824.25,786.25,817.0,817.0,37417
2022-07-29,817.0,845.75,801.0,807.75,807.75,47268
2022-08-01,812.75,820.25,781.25,800.25,800.25,41076
2022-08-02,795.0,795.75,772.75,774.75,774.75,47230
2022-08-03,774.0,790.25,752.0,763.75,763.75,51385
